,AGE,,,,,,SEX,,,EDUCATIONAL ATTAINMENT,,,,,,,,,,POVERTY STATUS,,,,HOUSEHOLD INCOME (IN 2021 INFLATION-ADJUSTED DOLLARS),,
Tract,,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over,,Male,Female,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school degree or higher,Bachelor's degree or higher,,"Total Citizens, 18 years and older, for whom poverty status is determined",Income in the past 12 months below poverty level,Income in the past 12 months at or above the poverty level,,"Median Household Income for Households with a Citizen, Voting-Age Householder",
261,,4755,643,1169,1818,1125,,2354,2401,,527,210,942,762,442,1302,570,4018,1872,,4755,239,4516,,119250,
262.01,,2784,414,666,1040,664,,1352,1432,,309,234,608,647,296,541,149,2241,690,,2782,266,2516,,115625,
262.02,,2624,430,522,984,688,,1147,1477,,265,319,602,313,348,596,181,2040,777,,2624,96,2528,,127539,
263.01,,3994,787,926,1112,1169,,2036,1958,,476,371,889,938,220,920,180,3147,1100,,3985,661,3324,,110202,
263.02,,3701,462,995,1514,730,,1704,1997,,268,206,651,1118,461,677,320,3227,997,,3701,359,3342,,92813,
263.03,,3433,672,856,1104,801,,1702,1731,,365,321,580,729,331,905,202,2747,1107,,3361,232,3129,,76250,
264.01,,2374,379,674,675,646,,1262,1112,,328,124,764,403,184,376,195,1922,571,,2374,242,2132,,72625,
264.02,,4034,568,1134,1540,792,,2242,1792,,331,191,979,839,242,1089,363,3512,1452,,4018,331,3687,,115977,
264.03,,2915,472,542,1151,750,,1422,1493,,499,146,790,729,135,481,135,2270,616,,2892,279,2613,,77448,
264.04,,1595,315,359,572,349,,693,902,,167,197,413,331,97,325,65,1231,390,,1595,138,1457,,73816,
301.01,,4161,1807,1120,841,393,,1499,2662,,134,75,333,272,97,2106,1144,3952,3250,,4030,545,3485,,135663,
301.02,,3682,904,1176,850,752,,1805,1877,,16,0,363,339,151,1373,1440,3666,2813,,3212,302,2910,,201702,
302.01,,3107,623,993,761,730,,1413,1694,,200,77,311,385,134,1261,739,2830,2000,,3107,300,2807,,109231,
302.02,,3010,519,1109,771,611,,1754,1256,,169,22,169,359,45,1436,810,2819,2246,,3010,185,2825,,117852,
303.01,,4821,646,1442,1690,1043,,2346,2475,,198,103,457,636,112,1916,1399,4520,3315,,4771,244,4527,,161348,
303.02,,3021,558,798,877,788,,1581,1440,,80,61,233,388,165,1233,861,2880,2094,,3021,221,2800,,144545,
304,,4166,360,781,1502,1523,,1996,2170,,50,171,243,415,228,1558,1501,3945,3059,,4166,154,4012,,127119,
305,,2885,430,281,1107,1067,,1495,1390,,178,134,361,453,166,746,847,2573,1593,,2074,271,1803,,161895,
306,,1900,227,517,735,421,,941,959,,26,15,124,176,124,754,681,1859,1435,,1900,63,1837,,202083,
307,,5225,503,1303,1728,1691,,2757,2468,,86,179,384,734,233,1735,1874,4960,3609,,5225,181,5044,,174083,
308,,4482,533,1278,1709,962,,2179,2303,,133,139,504,383,153,2098,1072,4210,3170,,4451,218,4233,,176200,
309,,4937,628,996,1817,1496,,2281,2656,,175,94,320,987,429,1751,1181,4668,2932,,4923,257,4666,,170104,
310,,3023,342,685,1104,892,,1545,1478,,108,140,215,463,319,1054,724,2775,1778,,3023,176,2847,,175158,
311,,4825,912,914,1781,1218,,2386,2439,,175,318,257,468,240,2101,1266,4332,3367,,4825,149,4676,,168018,
312.01,,4741,1068,1237,1345,1091,,2228,2513,,417,252,939,1121,365,1404,243,4072,1647,,4722,544,4178,,91125,
312.02,,2142,476,677,572,417,,1058,1084,,310,156,286,412,116,636,226,1676,862,,2142,156,1986,,137639,
313.01,,3193,631,695,901,966,,1756,1437,,202,80,416,702,374,970,449,2911,1419,,3193,302,2891,,94063,
313.02,,4131,1064,790,1477,800,,2085,2046,,326,222,525,775,245,1405,633,3583,2038,,4131,489,3642,,110761,
314.01,,1472,248,362,432,430,,739,733,,197,117,278,333,76,302,169,1158,471,,1472,95,1377,,89896,
314.02,,2918,585,942,913,478,,1385,1533,,189,116,669,533,271,773,367,2613,1140,,2914,186,2728,,127455,
